Code,Categories,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
030244,Fish,"Fresh or chilled mackerel ""Scomber scombrus, Scomber australasicus, Scomber japonicus""",0,0,0,0,0,0,0,0,0,0,0,483,580,760,246,461,379,398
030494,Fish,"Frozen meat, whether or not minced, of Alaska pollack ""Theragra chalcogramma"" (excluding fillets)",0,0,0,0,0,0,0,0,0,0,0,2554,2273,1196,1727,1643,1528,1687
030368,Fish,"Frozen blue whiting ""Micromesistius poutassou, Micromesistius australis""",0,0,0,0,0,0,0,0,0,0,0,0,57,157,105,166,126,249
030445,Fish,"Fresh or chilled fillets of swordfish ""Xiphias gladius""",0,0,0,0,0,0,0,0,0,0,0,135,210,260,21,67,114,46
030457,Fish,"Fresh or chilled meat, whether or not minced, of rays and skates ""Rajidae"" (excl. fillets)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030822,Fish,"Frozen sea urchins ""Strongylocentrotus spp., Paracentrotus lividus, Loxechinus albus, Echinus ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1369,523
030365,Fish,"Frozen coalfish ""Pollachius virens""",0,0,0,0,0,0,0,0,0,0,0,93,96,32,120,354,223,353
030463,Fish,"Frozen fillets of Nile perch ""Lates niloticus""",0,0,0,0,0,0,0,0,0,0,0,12,225,197,6,21,118,499
030272,Fish,"Fresh or chilled catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.""",0,0,0,0,0,0,0,0,0,0,0,166,8,18,39,79,37,7
030243,Fish,"Fresh or chilled sardines ""Sardina pilchardus, Sardinops spp."", sardinella ""Sardinella spp."", ...",0,0,0,0,0,0,0,0,0,0,0,435,338,195,891,1219,440,150
030279,Fish,"Fresh or chilled, Nile perch ""Lates niloticus"" and snakeheads ""Channa spp.""",0,0,0,0,0,0,0,0,0,0,0,231,533,410,5,3,13,23
030382,Fish,"Frozen rays and skates ""Rajidae""",0,0,0,0,0,0,0,0,0,0,0,76,17,73,49,83,6,41
030544,Fish,"Smoked tilapia ""Oreochromis spp."", catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus ...",0,0,0,0,0,0,0,0,0,0,0,46,275,391,309,39,117,32
030448,Fish,"Fresh or chilled fillets of rays and skates ""Rajidae""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
030255,Fish,"Fresh or chilled Alaska pollack ""Theragra chalcogramma""",0,0,0,0,0,0,0,0,0,0,0,35,60,9,0,4,30,0
160562,Fish,"Sea urchins, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,0,0,0,0,279,329,76,96,94,62,33
030829,Fish,"Smoked, frozen, dried, salted or in brine, sea urchins ""Strongylocentrotus spp., Paracentrotus ...",0,0,0,0,0,0,0,0,0,0,0,82,271,218,329,44,15,97
030497,Fish,"Frozen meat, whether or not minced, of rays and skates ""Rajidae""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030692,Fish,"Lobsters ""Homarus spp."", whether in shell or not, dried, salted, smoked or in brine, incl. ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,21
