HS Code 6,Konsumsi-Non Konsumsi,Olahan-Non Olahan,Asal Bahan Baku,Komoditas,Komoditas 1,Komoditas 2,Group_Commodities,Commodities,Sebaran Habitat,Bentuk,Form,Uraian 2017
030719,K,O,Perikanan Tangkap,Tiram,Kerang-kerangan,Lainnya,Other Fish,Oysters,Tropis,Dikeringkan,Dried,"Tiram (Oysters) dikeringkan, digarami atau dalam air garam/Oysters, dried, salted atau in brine"
030721,K,N,Perikanan Tangkap,Kerang,Kerang-kerangan,Lainnya,Other Fish,Scallops,Tropis,Hidup,Live,"Kerang (Scallops), termasuk kerang ratu, dari genera Pecten, Chlamys atau Placopecten, hidup/Scallops, including queen scallops, of the genera Pecten, Chlamys or Placopecten, live"
030722,K,N,Perikanan Tangkap,Kerang,Kerang-kerangan,Lainnya,Other Fish,Scallops,Tropis,Beku,Frozen,"Kerang (Scallops), termasuk kerang ratu, dari genera Pecten, Chlamys atau Placopecten, beku/Scallops, including queen scallops, of the genera Pecten, Chlamys or Placopecten, frozen"
030729,K,O,Perikanan Tangkap,Kerang,Kerang-kerangan,Lainnya,Other Fish,Scallops,Tropis,Dikeringkan,Dried,"Kerang (Scallops), termasuk kerang ratu, dari genera Pecten, Chlamys atau Placopecten, dikeringkan, digarami atau dalam air garam/Scallops, including queen scallops, of the genera Pecten, Chlamys or Placopecten, dried, salted or in brine"
030731,K,N,Perikanan Tangkap,Remis,Kerang-kerangan,Lainnya,Other Fish,Mussels,Tropis,Hidup,Live,"Remis (Mussels) (Mytillus spp., Perna spp.) hidup/Mussels (Mytillus spp., Perna spp.), live"
030732,K,N,Perikanan Tangkap,Remis,Kerang-kerangan,Lainnya,Other Fish,Mussels,Tropis,Beku,Frozen,"Remis (Mussels) (Mytillus spp., Perna spp.) beku/Mussels (Mytillus spp., Perna spp.), frozen"
030739,K,O,Perikanan Tangkap,Remis,Kerang-kerangan,Lainnya,Other Fish,Mussels,Tropis,Dikeringkan,Dried,"Remis (Mussels) (Mytillus spp., Perna spp.), dikeringkan, digarami atau dalam air garam /Mussels (Mytillus spp., Perna spp.), dried, salted or in brine"
030771,K,N,Perikanan Tangkap,"Kerang, Tiram, Arkshells",Kerang-kerangan,Lainnya,Other Fish,"Clams, Cockles, Ark Shells",Tropis,Hidup,Live,"Kerang (clams), tiram (cockles), dan arkshells dari famili: Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae and Veneridae), hidup/Clams, cockles, and ark shells (families: Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae and Veneridae), live"
030772,K,N,Perikanan Tangkap,"Kerang, Tiram, Arkshells",Kerang-kerangan,Lainnya,Other Fish,"Clams, Cockles, Ark Shells",Tropis,Beku,Frozen,"Kerang (clams), tiram (cockles), dan arkshells dari famili: Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae and Veneridae), beku/Clams, cockles, and ark shells (families: Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae and Veneridae), frozen"
030779,K,O,Perikanan Tangkap,"Kerang, Tiram, Arkshells",Kerang-kerangan,Lainnya,Other Fish,"Clams, Cockles, Ark Shells",Tropis,Dikeringkan,Dried,"Kerang (clams), tiram (cockles), dan arkshells dari famili: Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae and Veneridae), dikeringkan, diasinkan atau dalam air garam/Clams, cockles, and ark shells (families: Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae and Veneridae),  dried, salted or in brine"
