Product code,Categories,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
030743,Fish,"Cuttle fish and squid, frozen, with or without shell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456,999
030752,Fish,"Octopus ""Octopus spp."", frozen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17967,29762
030782,Fish,"Live, fresh or chilled, even in shell, stromboid conchs ""Strombus spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
160432,Fish,Caviar substitutes prepared from fish eggs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,115
030245,Fish,"Fresh or chilled jack and horse mackerel ""Trachurus spp.""",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
030323,Fish,"Frozen tilapia ""Oreochromis spp.""",0,0,0,0,0,0,0,0,0,0,0,0,1757,0,0,0,0,2
030344,Fish,"Frozen bigeye tunas ""Thunnus obesus""",0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,476
030481,Fish,"Frozen fillets of Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus ...",0,0,0,0,0,0,0,0,0,0,0,897,14,0,0,0,0,0
030541,Fish,"Smoked Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus ...",0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0
030571,Fish,"Shark fins, smoked, dried, salted or in brine",0,0,0,0,0,0,0,0,0,0,0,100,28,0,0,0,0,0
030235,Fish,"Fresh or chilled Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)",0,0,0,0,0,0,0,0,0,0,0,6,72,149,0,0,0,0
030290,Fish,Fresh or chilled fish livers and roes,0,0,0,0,0,0,0,0,0,0,0,135,0,67,0,0,0,0
030331,Fish,"Frozen lesser or Greenland halibut ""Reinhardtius hippoglossoides"", Atlantic halibut ""Hippoglossus ...",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
030353,Fish,"Frozen sardines ""Sardina pilchardus, Sardinops spp."", sardinella ""Sardinella spp."", brisling ...",0,0,0,0,0,0,0,0,0,0,0,21,0,25,0,0,0,0
030482,Fish,"Frozen fillets of trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus ...",0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0
030493,Fish,"Frozen meat, whether or not minced, of tilapia ""Oreochromis spp."", catfish ""Pangasius spp., ...",0,0,0,0,0,0,0,0,0,0,0,1002,1001,1759,0,0,0,0
030563,Fish,"Anchovies ""Engraulis spp."", salted or in brine only (excluding fillets and offal)",0,0,0,0,0,0,0,0,0,0,0,95,85,93,0,0,0,0
